BeginTime,SrcIP,DstIP,SrcPort,DstPort
2016-09-13T09:21:19.205Z,192.168.30.129,192.168.30.1,50898,5214
2016-09-13T09:21:19.216Z,192.168.30.129,192.168.30.1,50898,5061
2016-09-13T09:21:19.216Z,192.168.30.129,192.168.30.1,50898,54328
2016-09-13T09:21:19.218Z,192.168.30.129,192.168.30.1,50898,1455
2016-09-13T09:21:19.218Z,192.168.30.129,192.168.30.1,50898,1201
2016-09-13T09:21:19.221Z,192.168.30.129,192.168.30.1,50898,211
2016-09-13T09:21:19.233Z,192.168.30.129,192.168.30.1,50898,6101
2016-09-13T09:21:19.233Z,192.168.30.129,192.168.30.1,50898,52822
2016-09-13T09:21:19.233Z,192.168.30.129,192.168.30.1,50898,1761
2016-09-13T09:21:19.296Z,192.168.30.129,192.168.30.1,50899,15000
2016-09-13T09:21:19.306Z,192.168.30.129,192.168.30.1,50899,5214
2016-09-13T09:21:19.313Z,192.168.30.129,192.168.30.1,50899,5061
2016-09-13T09:21:19.316Z,192.168.30.129,192.168.30.1,50899,54328
2016-09-13T09:21:19.319Z,192.168.30.129,192.168.30.1,50899,1201
2016-09-13T09:21:19.319Z,192.168.30.129,192.168.30.1,50899,1455
2016-09-13T09:21:19.321Z,192.168.30.129,192.168.30.1,50899,211
2016-09-13T09:21:19.324Z,192.168.30.129,192.168.30.1,50899,6101
2016-09-13T09:21:19.327Z,192.168.30.129,192.168.30.1,50899,1761
2016-09-13T09:21:19.327Z,192.168.30.129,192.168.30.1,50899,52822
2016-09-13T09:21:19.397Z,192.168.30.129,192.168.30.1,50898,1300
2016-09-13T09:21:19.407Z,192.168.30.129,192.168.30.1,50898,9917
2016-09-13T09:21:19.415Z,192.168.30.129,192.168.30.1,50898,6007
2016-09-13T09:21:19.418Z,192.168.30.129,192.168.30.1,50898,1148
2016-09-13T09:21:19.421Z,192.168.30.129,192.168.30.1,50898,3828
2016-09-13T09:21:19.421Z,192.168.30.129,192.168.30.1,50898,5080
2016-09-13T09:21:19.424Z,192.168.30.129,192.168.30.1,50898,1244
2016-09-13T09:21:19.428Z,192.168.30.129,192.168.30.1,50898,1052
2016-09-13T09:21:19.428Z,192.168.30.129,192.168.30.1,50898,20
2016-09-13T09:21:19.428Z,192.168.30.129,192.168.30.1,50898,7004
2016-09-13T09:21:19.499Z,192.168.30.129,192.168.30.1,50899,1300
2016-09-13T09:21:19.508Z,192.168.30.129,192.168.30.1,50899,9917
2016-09-13T09:21:19.515Z,192.168.30.129,192.168.30.1,50899,6007
2016-09-13T09:21:19.518Z,192.168.30.129,192.168.30.1,50899,1148
2016-09-13T09:21:19.521Z,192.168.30.129,192.168.30.1,50899,5080
2016-09-13T09:21:19.521Z,192.168.30.129,192.168.30.1,50899,3828
2016-09-13T09:21:19.525Z,192.168.30.129,192.168.30.1,50899,1244
2016-09-13T09:21:19.529Z,192.168.30.129,192.168.30.1,50899,7004
2016-09-13T09:21:19.529Z,192.168.30.129,192.168.30.1,50899,20
2016-09-13T09:21:19.529Z,192.168.30.129,192.168.30.1,50899,1052
2016-09-13T09:21:19.599Z,192.168.30.129,192.168.30.1,50898,1864
2016-09-13T09:21:19.608Z,192.168.30.129,192.168.30.1,50898,10001
2016-09-13T09:21:19.615Z,192.168.30.129,192.168.30.1,50898,7920
2016-09-13T09:21:19.619Z,192.168.30.129,192.168.30.1,50898,12265
2016-09-13T09:21:19.622Z,192.168.30.129,192.168.30.1,50898,2323
2016-09-13T09:21:19.622Z,192.168.30.129,192.168.30.1,50898,49153
2016-09-13T09:21:19.626Z,192.168.30.129,192.168.30.1,50898,2179
2016-09-13T09:21:19.629Z,192.168.30.129,192.168.30.1,50898,3367
2016-09-13T09:21:19.629Z,192.168.30.129,192.168.30.1,50898,4242
2016-09-13T09:21:19.629Z,192.168.30.129,192.168.30.1,50898,6580
2016-09-13T09:21:19.700Z,192.168.30.129,192.168.30.1,50899,1864
2016-09-13T09:21:19.708Z,192.168.30.129,192.168.30.1,50899,10001
2016-09-13T09:21:19.716Z,192.168.30.129,192.168.30.1,50899,7920
2016-09-13T09:21:19.719Z,192.168.30.129,192.168.30.1,50899,12265
2016-09-13T09:21:19.723Z,192.168.30.129,192.168.30.1,50899,49153
2016-09-13T09:21:19.723Z,192.168.30.129,192.168.30.1,50899,2323
2016-09-13T09:21:19.726Z,192.168.30.129,192.168.30.1,50899,2179
2016-09-13T09:21:19.730Z,192.168.30.129,192.168.30.1,50899,6580
2016-09-13T09:21:19.730Z,192.168.30.129,192.168.30.1,50899,4242
2016-09-13T09:21:19.730Z,192.168.30.129,192.168.30.1,50899,3367
2016-09-13T09:21:19.802Z,192.168.30.129,192.168.30.1,50898,3369
2016-09-13T09:21:19.810Z,192.168.30.129,192.168.30.1,50898,3971
2016-09-13T09:21:19.819Z,192.168.30.129,192.168.30.1,50898,49
